Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
AgentBrain,0.992,1233.806,2.630,161,0.297
AgentBrain,1.004,1237.912,2.919,161,0.298
AgentBrain,0.986,1242.062,2.982,161,0.299
AgentBrain,0.999,1246.052,2.804,162,0.300
AgentBrain,1.004,1250.325,3.070,161,0.301
AgentBrain,1.023,1254.376,2.854,161,0.302
AgentBrain,0.991,1258.431,2.879,161,0.303
AgentBrain,1.020,1262.227,2.611,161,0.304
AgentBrain,1.000,1266.430,2.995,161,0.305
AgentBrain,0.998,1270.604,2.986,161,0.306
AgentBrain,0.993,1274.415,2.660,161,0.307
AgentBrain,1.011,1278.518,2.901,164,0.308
AgentBrain,1.015,1282.678,2.955,162,0.309
AgentBrain,1.000,1286.794,2.946,161,0.310
AgentBrain,0.998,1291.022,3.055,161,0.311
AgentBrain,1.008,1295.180,2.968,161,0.312
AgentBrain,0.997,1299.296,2.934,162,0.313
AgentBrain,0.990,1303.535,3.045,163,0.314
AgentBrain,1.005,1307.745,3.036,162,0.315
AgentBrain,0.986,1312.033,3.105,161,0.316
AgentBrain,1.004,1316.143,2.915,161,0.317
AgentBrain,0.990,1320.396,3.065,161,0.318
AgentBrain,1.000,1324.821,3.211,161,0.319
AgentBrain,0.988,1328.921,2.929,167,0.320
AgentBrain,0.993,1333.129,3.028,161,0.321
AgentBrain,1.002,1337.282,2.949,161,0.322
AgentBrain,1.007,1341.459,2.980,161,0.323
AgentBrain,0.993,1345.621,2.977,162,0.324
AgentBrain,1.002,1349.721,2.916,161,0.324
AgentBrain,0.992,1353.716,2.825,161,0.325
AgentBrain,1.007,1357.797,2.882,162,0.326
AgentBrain,0.992,1361.811,2.852,162,0.327
AgentBrain,1.008,1366.169,3.157,161,0.328
AgentBrain,1.008,1370.330,2.963,161,0.329
AgentBrain,0.989,1374.719,3.191,161,0.330
AgentBrain,1.033,1379.172,3.203,161,0.331
AgentBrain,1.006,1383.465,3.098,162,0.332
AgentBrain,1.052,1387.792,3.093,161,0.333
AgentBrain,1.023,1392.260,3.216,161,0.334
AgentBrain,1.009,1396.737,3.273,162,0.335
AgentBrain,1.028,1401.120,3.164,162,0.335
AgentBrain,0.996,1405.211,2.911,161,0.336
AgentBrain,0.992,1409.419,3.019,161,0.337
AgentBrain,1.019,1413.573,2.930,163,0.339
AgentBrain,1.040,1417.826,3.027,163,0.340
AgentBrain,1.067,1422.111,3.026,161,0.340
AgentBrain,1.107,1426.300,2.892,162,0.341
AgentBrain,1.023,1430.565,3.049,161,0.342
AgentBrain,1.140,1434.773,2.893,161,0.343
AgentBrain,1.007,1439.097,3.157,161,0.344
AgentBrain,1.073,1443.115,2.762,161,0.345
AgentBrain,1.008,1447.339,3.023,163,0.345
AgentBrain,1.082,1451.543,2.948,162,0.346
AgentBrain,1.003,1455.716,2.982,161,0.347
AgentBrain,1.014,1459.647,2.742,161,0.348
AgentBrain,1.003,1463.791,2.948,161,0.349
AgentBrain,1.003,1467.643,2.673,161,0.350
AgentBrain,0.996,1471.724,2.895,161,0.351
AgentBrain,1.009,1475.627,2.720,161,0.352
AgentBrain,0.996,1479.636,2.831,162,0.353
AgentBrain,1.005,1483.728,2.913,161,0.354
AgentBrain,0.986,1487.881,2.972,161,0.355
AgentBrain,0.997,1491.714,2.674,161,0.356
AgentBrain,1.000,1495.605,2.724,161,0.356
AgentBrain,0.989,1499.549,2.777,161,0.357
AgentBrain,0.983,1503.476,2.768,161,0.358
AgentBrain,0.996,1507.258,2.616,161,0.359
AgentBrain,1.003,1511.105,2.680,161,0.360
AgentBrain,0.995,1514.967,2.700,161,0.361
AgentBrain,0.995,1518.821,2.689,163,0.362
AgentBrain,1.016,1522.892,2.871,161,0.362
AgentBrain,0.986,1527.052,2.990,161,0.363
AgentBrain,0.984,1531.129,2.910,161,0.363
AgentBrain,1.001,1534.985,2.685,161,0.364
AgentBrain,0.994,1539.081,2.919,162,0.365
AgentBrain,0.993,1543.210,2.954,161,0.365
AgentBrain,0.983,1547.470,3.079,163,0.366
AgentBrain,0.987,1551.583,2.937,161,0.367
AgentBrain,0.999,1555.790,3.018,161,0.367
AgentBrain,0.993,1559.988,2.998,162,0.368
AgentBrain,0.986,1564.159,3.002,162,0.369
AgentBrain,0.997,1568.323,2.984,161,0.369
AgentBrain,0.989,1572.559,3.056,161,0.370
AgentBrain,0.999,1576.898,3.139,161,0.371
AgentBrain,0.983,1581.085,2.998,161,0.371
AgentBrain,1.002,1585.264,2.982,161,0.372
AgentBrain,1.004,1589.224,2.786,161,0.373
AgentBrain,0.991,1593.444,3.030,162,0.374
AgentBrain,1.000,1597.724,3.078,162,0.374
AgentBrain,0.989,1601.701,2.813,161,0.375
AgentBrain,0.994,1605.837,2.964,161,0.376
AgentBrain,0.992,1609.960,2.943,161,0.376
AgentBrain,1.005,1614.261,3.079,162,0.377
AgentBrain,0.997,1618.303,2.866,161,0.378
AgentBrain,0.999,1622.458,2.975,161,0.378
AgentBrain,0.984,1626.503,2.863,161,0.379
AgentBrain,1.008,1630.738,3.040,161,0.380
AgentBrain,0.990,1634.991,3.059,161,0.380
AgentBrain,0.994,1639.298,3.118,162,0.381
AgentBrain,0.986,1643.485,3.013,161,0.382
AgentBrain,0.994,1647.577,2.911,161,0.382
AgentBrain,0.997,1651.584,2.827,161,0.383
AgentBrain,0.995,1655.905,3.140,161,0.384
AgentBrain,1.000,1660.022,2.928,161,0.384
AgentBrain,0.996,1664.259,3.059,161,0.385
AgentBrain,1.000,1668.483,3.011,162,0.385
AgentBrain,1.004,1672.850,3.163,162,0.386
AgentBrain,0.990,1676.948,2.920,161,0.386
AgentBrain,0.993,1681.027,2.912,162,0.387
AgentBrain,0.996,1685.140,2.953,161,0.387
AgentBrain,0.999,1689.350,3.008,162,0.388
AgentBrain,1.037,1693.719,3.132,161,0.389
AgentBrain,0.994,1697.936,3.035,161,0.389
AgentBrain,0.990,1702.135,3.026,163,0.390
AgentBrain,0.999,1706.304,2.967,163,0.390
AgentBrain,0.995,1710.498,3.006,161,0.391
AgentBrain,0.992,1714.570,2.885,162,0.392
AgentBrain,0.986,1718.711,2.964,161,0.392
AgentBrain,0.987,1722.948,3.053,162,0.393
AgentBrain,1.004,1726.901,2.775,161,0.393
AgentBrain,0.993,1731.074,2.985,161,0.394
AgentBrain,1.015,1735.080,2.805,161,0.394
AgentBrain,1.003,1739.114,2.855,163,0.395
AgentBrain,1.053,1743.319,2.951,161,0.395
AgentBrain,1.027,1747.475,2.947,161,0.396
AgentBrain,1.027,1751.558,2.876,162,0.396
AgentBrain,0.992,1755.676,2.927,161,0.397
AgentBrain,1.004,1759.711,2.831,163,0.398
AgentBrain,1.001,1763.536,2.665,161,0.398
AgentBrain,0.993,1767.432,2.741,161,0.399
AgentBrain,0.989,1771.576,2.964,161,0.399
AgentBrain,1.088,1775.641,2.809,161,0.400
AgentBrain,0.994,1779.609,2.790,161,0.400
AgentBrain,0.996,1783.501,2.723,161,0.401
AgentBrain,0.991,1787.588,2.899,161,0.402
AgentBrain,0.992,1791.497,2.736,162,0.402
AgentBrain,1.002,1795.413,2.741,162,0.403
AgentBrain,0.985,1799.459,2.859,161,0.403
